* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on  = 2025-04-07 11:19:53 AM CEST
* Calibration CY3 is expired  = Yes
* Calibration CY3 performed on  = 2024-02-12 10:17:15 AM CET
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 2025-04-07 11:44:18 AM CEST
* Calibration MELTDOCTOR is expired  = Yes
* Calibration MELTDOCTOR performed on  = 2024-12-03 10:22:54 AM CET
* Calibration NED is expired  = No
* Calibration NED performed on  = 2025-04-07 12:27:00 PM CEST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2024-10-25 13:12:18 PM CEST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 2025-04-07 12:03:24 PM CEST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 2025-04-07 12:36:15 PM CEST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 2025-04-07 12:16:19 PM CEST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 2025-04-07 11:32:14 AM CEST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 2025-04-07 11:52:56 AM CEST
* Chemistry = TAQMAN
* Experiment Barcode = 
* Experiment Comments = NA
* Experiment File Name = I:\Common\6. Lab operations\PCR-runs\REP_001729 250722 SJ VIia7.eds
* Experiment Name = REP_001729 250722 SJ VIia7
* Experiment Run End Time = 2025-07-22 13:01:53 PM CEST
* Experiment Type = Standard Curve
* Experiment User Name = NA
* Instrument Name = 28880932
* Instrument Serial Number = 278880932
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start	Baseline End	Comments	Reporter	CT
289	M1	SE-25-0766-P01-G1	MDP2309-r	0.080	1	42	1861856	VIC	24.948
289	M1	SE-25-0766-P01-G1	MDP2309-t	0.050	1	42	1861856	FAM	25.629
291	M3	SE-25-0766-P01-G2	MDP2309-r	0.080	1	42	1861858	VIC	24.950
291	M3	SE-25-0766-P01-G2	MDP2309-t	0.050	1	42	1861858	FAM	25.275
293	M5	SE-25-0766-P01-G3	MDP2309-r	0.080	1	42	1861860	VIC	24.720
293	M5	SE-25-0766-P01-G3	MDP2309-t	0.050	1	42	1861860	FAM	25.095
295	M7	SE-25-0766-P01-G4	MDP2309-r	0.080	1	42	1861862	VIC	25.281
295	M7	SE-25-0766-P01-G4	MDP2309-t	0.050	1	42	1861862	FAM	25.539
297	M9	SE-25-0766-P01-G5	MDP2309-r	0.080	1	42	1861864	VIC	24.768
297	M9	SE-25-0766-P01-G5	MDP2309-t	0.050	1	42	1861864	FAM	25.095
299	M11	SE-25-0766-P01-G6	MDP2309-r	0.080	1	42	1861866	VIC	24.941
299	M11	SE-25-0766-P01-G6	MDP2309-t	0.050	1	42	1861866	FAM	25.364
301	M13	SE-25-0766-P01-G7	MDP2309-r	0.080	1	42	1861868	VIC	24.761
301	M13	SE-25-0766-P01-G7	MDP2309-t	0.050	1	42	1861868	FAM	25.085
303	M15	SE-25-0766-P01-G8	MDP2309-r	0.080	1	42	1861870	VIC	24.916
303	M15	SE-25-0766-P01-G8	MDP2309-t	0.050	1	42	1861870	FAM	25.175
305	M17	SE-25-0766-P01-G9	MDP2309-r	0.080	1	42	1861872	VIC	25.408
305	M17	SE-25-0766-P01-G9	MDP2309-t	0.050	1	42	1861872	FAM	25.806
307	M19	SE-25-0766-P01-G10	MDP2309-r	0.080	1	42	1861874	VIC	25.117
307	M19	SE-25-0766-P01-G10	MDP2309-t	0.050	1	42	1861874	FAM	25.496
309	M21	SE-25-0766-P01-G11	MDP2309-r	0.080	1	42	1861876	VIC	25.276
309	M21	SE-25-0766-P01-G11	MDP2309-t	0.050	1	42	1861876	FAM	25.606
311	M23	SE-25-0766-P01-G12	MDP2309-r	0.080	1	42	1861878	VIC	25.224
311	M23	SE-25-0766-P01-G12	MDP2309-t	0.050	1	42	1861878	FAM	25.736
337	O1	SE-25-0766-P01-H1	MDP2309-r	0.080	1	42	1861880	VIC	24.856
337	O1	SE-25-0766-P01-H1	MDP2309-t	0.050	1	42	1861880	FAM	24.912
339	O3	SE-25-0766-P01-H2	MDP2309-r	0.080	1	42	1861882	VIC	25.084
339	O3	SE-25-0766-P01-H2	MDP2309-t	0.050	1	42	1861882	FAM	25.335
341	O5	SE-25-0766-P01-H3	MDP2309-r	0.080	1	42	1861884	VIC	24.737
341	O5	SE-25-0766-P01-H3	MDP2309-t	0.050	1	42	1861884	FAM	25.048
343	O7	SE-25-0766-P01-H4	MDP2309-r	0.080	1	42	1861886	VIC	24.921
343	O7	SE-25-0766-P01-H4	MDP2309-t	0.050	1	42	1861886	FAM	25.176
353	O17	HOM_OGURARF_0000065525	MDP2309-r	0.080	1	42	1863560	VIC	24.690
353	O17	HOM_OGURARF_0000065525	MDP2309-t	0.050	1	42	1863560	FAM	23.893
357	O21	WT_OGURARF_0000065527	MDP2309-r	0.080	1	42	1863562	VIC	24.149
357	O21	WT_OGURARF_0000065527	MDP2309-t	0.050	1	42	1863562	FAM	Undetermined
